Date,GARP_Portfolio
2022-01-31,
2022-02-28,
2022-03-31,
2022-04-30,
2022-05-31,
2022-06-30,
2022-07-31,
2022-08-31,
2022-09-30,
2022-10-31,
2022-11-30,
2022-12-31,-1.5132557756432805
2023-01-31,-0.6094132919904918
2023-02-28,-0.3694692711912211
2023-03-31,-0.39861497378437644
2023-04-30,0.10677270963836105
2023-05-31,0.8435249916940378
2023-06-30,1.3737421313391285
2023-07-31,1.0641555809091416
2023-08-31,0.603710788155109
2023-09-30,1.1786233059287223
2023-10-31,0.9733110219414013
2023-11-30,1.289773852687615
2023-12-31,2.03640827834512
2024-01-31,1.8938049134311916
2024-02-29,2.167724095921457
2024-03-31,2.01706903117958
2024-04-30,1.186959058821033
2024-05-31,1.0558973354386292
2024-06-30,0.942228569384606
2024-07-31,0.7531036199438701
2024-08-31,1.6296962793753431
2024-09-30,1.7283972013339128
2024-10-31,1.8964439220961486
2024-11-30,1.7381556756485474
2024-12-31,1.3557442885805469
2025-01-31,1.4731484826439456
2025-02-28,0.9466022799733146
2025-03-31,0.2600987467755617
2025-04-30,1.0105136148467122
2025-05-31,1.123342878981992
2025-06-30,1.0498418090656452
2025-07-31,1.0687575011820987
2025-08-31,0.7806753772788764
2025-09-30,0.44151194275638483
2025-10-31,0.6127936459433659
2025-11-30,0.1738531535661846
2025-12-31,0.30835611621850995
2026-01-31,-0.26740655441479144
